"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1882, 8.771878262341821e-01, 1.074495480620516e-02, 4.732559084033524e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527586353407749e+05, 1.000000000000000e-10, 1.115079500511414e+12, 6.110345413630993e+04, 4.497799190560395e+02, 0.000000000000000e+00, -1.127454066223435e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482618685363959e-05, 2.111529294497032e-03, -1.846935763591472e-04, 3.537993931964936e+01, 1.116618292752970e-01, 4.244181950805343e-23
1883, 8.742040485283140e-01, 1.100592706951682e-02, 4.732079310514530e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527384383126705e+05, 1.000000000000000e-10, 1.115168943467039e+12, 6.109537532506818e+04, 4.497660472870506e+02, 0.000000000000000e+00, -1.127850955712084e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482565311617333e-05, 2.111382280181356e-03, -1.846621509044141e-04, 3.657213997406351e+01, 1.116546399276627e-01, 4.243411891911111e-23
1884, 8.712202690664390e-01, 1.126687921211892e-02, 4.731725741686409e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527241292411210e+05, 1.000000000000000e-10, 1.115237936060223e+12, 6.108965169644838e+04, 4.497575163573490e+02, 0.000000000000000e+00, -1.128132141640082e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482532487131141e-05, 2.111648591467043e-03, -1.846753097179785e-04, 3.809883296183264e+01, 1.116589627635906e-01, 4.242832996843735e-23
1885, 8.682364888777908e-01, 1.152782305693358e-02, 4.732691132078480e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527666466973751e+05, 1.000000000000000e-10, 1.115067750903119e+12, 6.110665867895001e+04, 4.497909574731632e+02, 0.000000000000000e+00, -1.127296635971418e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482661156733951e-05, 2.112729391630869e-03, -1.847680913743782e-04, 3.670905933597940e+01, 1.116931340789935e-01, 4.244345564397370e-23
1886, 8.652527089955723e-01, 1.178877032075960e-02, 4.733352556789419e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527957255495832e+05, 1.000000000000000e-10, 1.114950843759178e+12, 6.111829021983325e+04, 4.498137099362567e+02, 0.000000000000000e+00, -1.126725210773426e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482748697278264e-05, 2.113271487187652e-03, -1.848218983670699e-04, 3.534493857335725e+01, 1.117113438760709e-01, 4.245383202934230e-23
1887, 8.622689303821421e-01, 1.204973209534592e-02, 4.732847887520574e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527751811015983e+05, 1.000000000000000e-10, 1.115048366251804e+12, 6.111007244063927e+04, 4.498011870829020e+02, 0.000000000000000e+00, -1.127128927370403e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482700515646738e-05, 2.113158906753056e-03, -1.848238688669483e-04, 3.629187829655945e+01, 1.117046078231229e-01, 4.244559732193607e-23
1888, 8.592851533871512e-01, 1.231071247650678e-02, 4.732492158469276e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527611511003469e+05, 1.000000000000000e-10, 1.115119435905449e+12, 6.110446044013871e+04, 4.497936871806186e+02, 0.000000000000000e+00, -1.127404629319900e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482671659460357e-05, 2.113310484733109e-03, -1.848505881097780e-04, 3.716548088588082e+01, 1.117057451115593e-01, 4.243970549969471e-23
1889, 8.563013780693038e-01, 1.257171197599907e-02, 4.732490577483854e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527625891891778e+05, 1.000000000000000e-10, 1.115127325808721e+12, 6.110503567567109e+04, 4.497980717889209e+02, 0.000000000000000e+00, -1.127376369600807e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482688529454364e-05, 2.113647818837589e-03, -1.848939117362678e-04, 3.715323796907607e+01, 1.117139141144331e-01, 4.243939010137093e-23
1890, 8.533176044628346e-01, 1.283273107121346e-02, 4.731788615144109e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527340055773394e+05, 1.000000000000000e-10, 1.115263002525102e+12, 6.109360223093571e+04, 4.497806246726146e+02, 0.000000000000000e+00, -1.127938062886953e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482621400308023e-05, 2.113767030314209e-03, -1.849184958886307e-04, 3.909803477819123e+01, 1.117118317776951e-01, 4.242793930047193e-23
1891, 8.503338326109684e-01, 1.309377023240890e-02, 4.732579021475812e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527691697206765e+05, 1.000000000000000e-10, 1.115125250531877e+12, 6.110766788827057e+04, 4.498090413377658e+02, 0.000000000000000e+00, -1.127247056329168e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482730734946108e-05, 2.114710147041562e-03, -1.850155031234846e-04, 3.777410714095347e+01, 1.117411948330581e-01, 4.244025906794734e-23
1892, 8.473500625600292e-01, 1.335482993620572e-02, 4.731920652216381e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527417698828957e+05, 1.000000000000000e-10, 1.115249574280521e+12, 6.109670795315826e+04, 4.497909383993492e+02, 0.000000000000000e+00, -1.127785487406735e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482661083346095e-05, 2.114743837582223e-03, -1.850332911023540e-04, 3.971436865968032e+01, 1.117374809763572e-01, 4.242963187846237e-23
1893, 8.443662943436793e-01, 1.361591065705635e-02, 4.732424861749681e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527647572405028e+05, 1.000000000000000e-10, 1.115164679264545e+12, 6.110590289620108e+04, 4.498107015612223e+02, 0.000000000000000e+00, -1.127333765472254e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482737122631423e-05, 2.115573817896566e-03, -1.851210880455541e-04, 3.900537218226014e+01, 1.117619716596900e-01, 4.243737988729862e-23
1894, 8.413825279976648e-01, 1.387701284553700e-02, 4.732285917339939e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527604681801655e+05, 1.000000000000000e-10, 1.115198458621543e+12, 6.110418727206615e+04, 4.498112790656563e+02, 0.000000000000000e+00, -1.127418049306256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482739344568304e-05, 2.115856571118310e-03, -1.851603934912506e-04, 3.926970315598345e+01, 1.117677326694490e-01, 4.243484916969869e-23
